Editar;Id;Codigo;Nome
;53;1;Banco do Brasil S.A.
;45;3;Banco da Amazônia S.A.
;57;4;Banco do Nordeste do Brasil S.A.
;86;7;Banco Nacional de Desenvolvimento Econômico e Social – BNDES
;152;10;Credicoamo
;132;11;C.Suisse Hedging-Griffo Cv S.A (Credit Suisse)
;64;12;Banco Inbursa S.A.
;185;14;Natixis Brasil S.A. Banco Múltiplo
;137;16;Ccm Desp Trâns Sc E Rs
;124;17;BNY Mellon Banco S.A.
;110;18;Banco Tricury S.A.
;117;21;BANESTES S.A. Banco do Estado do Espírito Santo
;18;24;Banco BANDEPE S.A.
;13;25;Banco Alfa S.A.
;70;29;Banco Itaú Consignado S.A.
;101;33;Banco Santander (Brasil) S.A.
;23;36;Banco Bradesco BBI S.A.
;55;37;Banco do Estado do Pará S.A.
;33;40;Banco Cargill S.A.
;56;41;Banco do Estado do Rio Grande do Sul S.A.
;54;47;Banco do Estado de Sergipe S.A.
;48;51;Banco de Desenvolvimento do Espírito Santo S.A.
;145;60;Confidence Cc S.A
;166;62;Hipercard Banco Múltiplo S.A.
;22;63;Banco Bradescard S.A.
;162;64;Goldman Sachs do Brasil Banco Múltiplo S.A.
;15;65;Banco Andbank (Brasil) S.A.
;84;66;Banco Morgan Stanley S.A.
;44;69;Banco Crefisa S.A.
;127;70;BRB – Banco de Brasília S.A.
;73;74;Banco J. Safra S.A.
;11;75;Banco ABN AMRO S.A
;75;76;Banco KDB S.A.
;67;77;Banco Inter S.A.
;165;78;Haitong Banco de Investimento do Brasil S.A.
;89;79;Banco Original do Agronegócio S.A.
;8;80;"B&amp;T Cc Ltda"
;116;81;BancoSeguro S.A.
;108;82;Banco Topázio S.A.
;46;83;Banco da China Brasil S.A.
;146;85;Coop Central Ailos
;138;89;Ccr Reg Mogiana
;216;91;Unicred Central Rs
;128;92;Brickell S.A. Crédito, Financiamento e Investimento
;198;93;Pólocred Scmepp Ltda
;62;94;Banco Finaxis S.A.
;212;95;Travelex Banco de Câmbio S.A.
;17;96;Banco B3 S.A.
;147;97;Cooperativa Central de Crédito Noroeste Brasileiro Ltda.
;151;98;Credialiança Ccr
;218;99;UNIPRIME Central – Central Interestadual de Cooperativas de Crédito Ltda.
;196;100;Planner Corretora De Valores S.A
