Id;Cep;Id Cidade;Id Bairro;Id Logradouro;Id Tipo Logradouro
1;1227200;9668;25422;1;1
2;1251000;9668;26525;2;2
3;1255010;9668;26525;3;2
4;1308040;9668;25243;4;2
5;1426040;9668;25280;5;3
6;1501001;9668;25279;6;4
7;1543000;9668;25258;7;2
8;1546120;9668;25633;8;2
9;2072001;9668;25270;9;1
10;2084150;9668;26807;10;2
11;2119020;9668;26853;11;2
12;2123005;9668;25820;12;3
13;2131040;9668;26851;13;2
14;2138000;9668;27006;14;4
15;2140030;9668;27006;15;2
16;2147015;9668;26379;16;4
17;2190080;9668;26379;17;2
18;2201020;9668;26779;18;2
19;2207080;9668;26869;19;2
20;2209150;9668;26869;20;3
21;2216060;9668;26869;21;2
22;2217020;9668;26869;22;2
23;2221140;9668;25559;23;3
24;2224010;9668;25559;24;1
25;2227310;9668;25559;25;4
26;2248001;9668;26290;26;2
27;2280105;9668;25559;27;3
28;2320160;9668;26314;28;2
29;2354240;9668;26391;29;2
30;2357100;9668;26533;30;2
31;2360281;9668;30573;31;2
32;2371020;9668;26554;32;2
33;2375170;9668;26554;33;2
34;2408000;9668;25220;34;4
35;2417122;9668;49533;35;3
36;2420030;9668;26366;36;2
37;2435010;9668;26263;37;2
38;2441070;9668;26263;38;2
39;2467103;9668;25460;39;3
40;2468075;9668;26998;40;3
41;2472050;9668;25460;41;2
42;2514050;9668;25273;42;2
44;2545120;9668;25274;44;3
45;2551110;9668;26265;45;3
46;2672010;9668;26016;46;2
47;2757100;9668;26596;47;2
48;2759040;9668;26545;48;2
49;2765080;9668;26782;49;2
50;2831040;9668;25465;50;4
51;2832210;9668;26420;51;2
52;2871040;9668;25987;52;2
53;2873011;9668;25399;53;5
54;2882140;9668;25594;54;2
55;2916010;9668;26600;55;3
56;2932010;9668;26954;56;2
57;2966000;9668;27088;57;2
58;2968010;9668;26878;58;2
59;2990325;9668;25677;59;3
60;2994060;9668;36405;60;2
61;2997001;9668;25434;61;3
62;3124070;9668;26323;62;2
63;3152030;9668;26459;63;2
64;3164120;9668;26276;64;2
65;3192010;9668;26938;65;2
66;3223000;9668;25790;66;2
67;3251090;9668;26796;67;2
68;3254210;9668;27038;68;2
69;3265140;9668;26701;69;2
70;3268070;9668;27073;70;2
71;3272040;9668;26364;71;2
72;3273120;9668;27010;72;2
73;3324080;9668;26766;73;2
74;3366000;9668;26750;74;1
75;3382040;9668;25282;75;2
76;3385060;9668;26412;76;2
77;3408029;9668;32128;77;2
78;3427010;9668;26649;78;2
79;3433000;9668;26744;79;2
80;3441010;9668;26649;80;2
81;3451000;9668;26371;81;2
82;3505020;9668;26586;82;2
83;3516060;9668;26867;83;2
84;3541005;9668;26777;84;4
85;3551060;9668;25354;85;2
86;3570310;9668;26424;86;2
87;3572170;9668;26115;87;2
88;3574060;9668;26112;88;2
89;3579280;9668;25906;89;2
90;3581190;9668;25723;90;2
91;3583100;9668;25560;91;2
92;3607040;9668;27034;92;2
93;3644003;9668;26604;93;3
